LAND_USE,CN_A_low,CN_A_high
A,44,62
BC,43,75
BD,51,90
BT,51,86
CDc,57,86
CDd,54,88
CDi,53,83
CDj,48,85
CDk,56,92
CDo,49,70
CDz,60,85
CU,59,88
E,45,76
F,42,88
f,31,45
Go,30,45
IG,48,82
IK,39,65
IP,45,76
K1,29,49
K2,28,48
LN,36,38
N,29,36
O,34,64
PC,63,95
POd,73,98
POg,39,80
PZ,53,80
SB,38,69
SK,44,67
SSce,54,78
SScv,55,78
SSse,49,72
SSsv,52,78
T,31,64
VC,46,95
VI,42,97
ZDd,30,63
ZDo,39,85
ZK,43,65
ZPp,33,63
ZPps,39,62
ZS,34,60
ZV,41,70
